#Use Notepad++ and set language to CMake for better readability

#r	g	b
[BGCOLOR]
156	252	240

#tex_id	file_path	r	g	b
[TEXTURES]
0	assets\textures\mario.png	68	145	190
1	assets\textures\enemies.png	255	255	255
2	assets\textures\stage_tileset.png	224	163	216
3	assets\textures\items_and_misc_blocks.png	255	255	255
4	assets\textures\gui_and_font.png	255	255	255

#obj_id	data_path
#0-99:	moving entities
#100:	portal
#101-200:	animated tileset, eg: question block
#201-300:	tileset, eg: ground

#0: Mario, 1: Goomba, 2: Paragoomba, etc...
[ENTITY_DATA]
#Projectiles
#Fireball
80	assets\data\projectiles\fireball_data.txt

#Mario
0	assets\data\player\mario_data.txt

#NPCs
#Goomba
1	assets\data\npc\goomba_data.txt

[TILESET_DATA]
#QuestionBlock

#Coins

#Whoever says they like game dev has never been into game dev
#construct background image
#left	top	right	bottom	x	y	tex_id
[BACKGROUND]
#white_flower
324	341	339	356	864	368	2
307	341	322	356	880	368	2
324	341	339	356	896	368	2
341	324	356	339	912	368	2
324	324	339	339	928	368	2
307	307	322	322	816	384	2
324	341	339	356	832	384	2
341	324	356	339	848	384	2
341	324	356	339	864	384	2
341	324	356	339	880	384	2
341	324	356	339	896	384	2
341	324	356	339	912	384	2
324	324	339	339	928	384	2

#top_left	307	307	322	322
#top_right	324	307	339	322
#top_left_green	307	341	322	356
#top_right_green	324	341	339	356
#green	341	324	356	339
#left_side	307	324	322	339
#right_side	324	324	339	339
307	307	322	322	960	352	2
324	307	339	322	976	352	2
307	324	322	339	960	368	2
307	341	322	356	976	368	2
324	307	339	322	992	368	2
307 307	322	322	944	384	2
324	341	339	356	960	384	2
341	324	356	339	976	384	2
324	324	339	339	992	384	2

#top_left	307	307	322	322
#top_right	324	307	339	322
#top_left_green	307	341	322	356
#top_right_green	324	341	339	356
#green	341	324	356	339
#left_side	307	324	322	339
#right_side	324	324	339	339
307	307	322	322	1904	368	2
324	307	339	322	1920	368	2
307	324	322	339	1904	384	2
307	341	322	356	1920	384	2
324	307	339	322	1936	384	2
307	307	322	322	1888	400	2
324	341	339	356	1904	400	2
341	324	356	339	1920	400	2
324	324	339	339	1936	400	2

#top_left	307	307	322	322
#top_right	324	307	339	322
#top_left_green	307	341	322	356
#top_right_green	324	341	339	356
#green	341	324	356	339
#left_side	307	324	322	339
#right_side	324	324	339	339
307	307	322	322	2400	288	2
324	307	339	322	2416	288	2
307	324	322	339	2400	304	2
307	341	322	356	2416	304	2
324	307	339	322	2432	304	2
324	324	339	339	2400	320	2
307	324	322	339	2416	320	2
324	324	339	339	2432	320	2
307	307	322	322	2384	336	2
324	341	339	356	2400	336	2
341	324	356	339	2416	336	2
324	325	339	339	2432	336	2
307	307	322	322	2368	352	2
324	341	339	356	2384	352	2
341	324	356	339	2400	352	2
341	324	256	339	2416	352	2
324	324	339	339	2432	352	2
307	324	322	339	2368	368	2
341	324	356	339	2384	368	2
341	324	356	339	2400	368	2
341	324	356	339	2416	368	2
324	324	339	339	2432	368	2
307	324	322	339	2368	384	2
341	324	356	339	2384	384	2
341	324	356	339	2400	384	2
341	324	356	339	2416	384	2
307	341	322	356	2432	384	2
324	307	339	322	2448	384	2
307	324	322	339	2368	400	2
341	324	322	339	2384	400	2
341	324	322	339	2400	400	2
341	324	322	339	2416	400	2
341	324	322	339	2432	400	2
324	324	339	339	2448	400	2

#cloud
#double_cloud
715	1	730	16	112	272	2
732	1	747	16	128	272	2
732	1	747	16	144	272	2
749	1	764	16	160	272	2
715	18	730	33	112	288	2
732	18	747	33	128	288	2
732	18	747	33	144	288	2
749	18	764	33	160	288	2
#single_cloud
715	1	730	16	320	256	2
732	1	747	16	336	256	2
749	1	764	16	352	256	2
715	18	730	33	320	272	2
732	18	747	33	336	272	2
749	18	764	33	352	272	2
#single_cloud
715	1	730	16	640	272	2
732	1	747	16	656	272	2
749	1	764	16	672	272	2
715	18	730	33	640	288	2
732	18	747	33	656	288	2
749	18	764	33	672	288	2
#single_cloud
715	1	730	16	1168	272	2
732	1	747	16	1184	272	2
749	1	764	16	1200	272	2
715	18	730	33	1168	288	2
732	18	747	33	1184	288	2
749	18	764	33	1200	288	2
#single_cloud
715	1	730	16	2320	288	2
732	1	747	16	2336	288	2
749	1	764	16	2352	288	2
715	18	730	33	2320	304	2
732	18	747	33	2336	304	2
749	18	764	33	2352	304	2
#triple_cloud
715	1	730	16	720	304	2
732	1	747	16	736	304	2
732	1	747	16	752	304	2
732	1	747	16	768	304	2
749	1	764	16	784	304	2
715	18	730	33	720	320	2
732	18	747	33	736	320	2
732	18	747	33	752	320	2
732	18	747	33	768	320	2
749	18	764	33	784	320	2
#triple_cloud
715	1	730	16	1648	272	2
732	1	747	16	1664	272	2
732	1	747	16	1680	272	2
732	1	747	16	1696	272	2
749	1	764	16	1712	272	2
715	18	730	33	1648	288	2
732	18	747	33	1664	288	2
732	18	747	33	1680	288	2
732	18	747	33	1696	288	2
749	18	764	33	1712	288	2

#zigzag
698	86	713	101	2480	0	2
698	86	713	101	2480	16	2
698	86	713	101	2480	32	2
698	86	713	101	2480	48	2
698	86	713	101	2480	64	2
698	86	713	101	2480	80	2
698	86	713	101	2480	96	2
698	86	713	101	2480	112	2
698	86	713	101	2480	128	2
698	86	713	101	2480	144	2
698	86	713	101	2480	160	2
698	86	713	101	2480	176	2
698	86	713	101	2480	192	2
698	86	713	101	2480	208	2
698	86	713	101	2480	224	2
698	86	713	101	2480	240	2
698	86	713	101	2480	256	2
698	86	713	101	2480	272	2
698	86	713	101	2480	288	2
698	86	713	101	2480	304	2
698	86	713	101	2480	320	2
698	86	713	101	2480	336	2
698	86	713	101	2480	352	2
698	86	713	101	2480	368	2
698	86	713	101	2480	384	2
698	86	713	101	2480	400	2

#black_square
#top_left	715	69	730	84
#top_right	732	69	747	84
#square	698	35	713	50
#left_side	715	86	730	101
#right_side	732	86	747	101
715	69	730	84	2592	320	2
732	69	747	84	2608	320	2
715	86	730	101	2592	336	2
732	86	747	101	2608	336	2
715	86	730	101	2592	352	2
715	69	730	84	2608	352	2
732	69	747	84	2624	352	2
715	86	730	101	2592	368	2
698	35	713	50	2608	368	2
732	86	747	101	2624	368	2
715	86	730	101	2592	384	2
698	35	713	50	2608	384	2
715	69	730	84	2624	384	2
732	69	747	84	2640	384	2
715	69	730	84	2576	400	2
732	69	747	84	2592	400	2
698	35	713	50	2608	400	2
698	35	713	50	2624	400	2
732	86	747	101	2640	400	2

#top_left	715	69	730	84
#top_right	732	69	747	84
#left_side	715	86	730	101
#right_side	732	86	747	101
715	69	730	84	2768	368	2
732	69	747	84	2784	368	2
715	86	730	101	2768	384	2
732	86	747	101	2784	384	2
715	69	730	84	2752	400	2
732	69	747	84	2768	400	2
732	86	747	101	2784	400	2

#black_bush

#bonus_square
650	106	675	131	2683	331	2

#obj_id	x	y
[WORLD_COORDS]
#Mario
0	0	0

#NPCs
#Goomba
17	32	0

#Tilemap
